SG_UF,SG_PARTIDO,NM_PARTIDO,NM_FORNECEDOR,DT_PAGAMENTO,VR_GASTO,DS_GASTO_CONCAT
AP,PTB,PARTIDO TRABALHISTA BRASILEIRO,INSTITUTO PARANA DE PESQUISAS E ANALISE DE CONSUMIDOR LTDA EPP,2018-06-06,30000,PESQUISAS E TESTES DE OPINIÃO PÚBLICA - ORDINÁRIAS
AP,PSOL,PARTIDO SOCIALISMO E LIBERDADE,MINISTERIO DA ECONOMIA,2018-12-03,26930.51,TRIBUTOS - OUTROS TRIBUTOS - ORDINÁRIAS
AP,PP,PROGRESSISTAS,BANCO DO BRASIL,2018-06-19,26220.17,DEPÓSITOS RESTITUÍVEIS E VALORES VINCULADOS - DEPÓSITOS JUDICIAIS
BA,PATRI,PATRIOTA,INFORMATICA EMP IMOBILIARIOS LTDA,2018-06-30,211144.16,MATERIAL DE CONSUMO - MATERIAIS IMPRESSOS - ORDINÁRIAS
BA,DEM,DEMOCRATAS,ALVINA COMUNICAÇÃO LTDA,2017-12-31,207500,SERVIÇOS TÉCNICO-PROFISSIONAIS - OUTROS SERVIÇOS TÉCNICOS E PROFISSIONAIS - ORDINÁRIAS
BA,REPUBLICANOS,REPUBLICANOS,ADELMO COSME DOS SANTOS,2018-08-30,158343.5,SERVIÇOS TÉCNICO-PROFISSIONAIS - OUTROS SERVIÇOS TÉCNICOS E PROFISSIONAIS - ORDINÁRIAS
BA,PSB,PARTIDO SOCIALISTA BRASILEIRO,FUNDO DO REGIME GERAL DE PREVIDENCIA SOCIAL,2017-12-31,109078.51,PESSOAL - PREVIDÊNCIA SOCIAL - ORDINÁRIAS
BA,DEM,DEMOCRATAS,BIG BANG COMUNICACAO VISUAL LTDA - ME,2018-08-09,95000,PRODUÇÃO DE AUDIOVISUAIS - ORDINÁRIAS
BA,PT,PARTIDO DOS TRABALHADORES,MANUELA SERVICOS GRAFICOS LTDA - ME,2018-01-16,94293.7,"CÓPIAS, ENCADERNAÇÕES E SERVIÇOS SIMILARES - ORDINÁRIAS"
BA,PT,PARTIDO DOS TRABALHADORES,MANUELA SERVICOS GRAFICOS LTDA - ME,2018-03-27,94293.7,"CÓPIAS, ENCADERNAÇÕES E SERVIÇOS SIMILARES - ORDINÁRIAS"
BA,PT,PARTIDO DOS TRABALHADORES,MAXXI LOCACOES DE ESTRUTURA EIRELI - ME,2018-04-03,83202,ALUGUÉIS E CONDOMÍNIOS - LOCAÇÃO DE BENS MÓVEIS - ORDINÁRIAS
BA,REPUBLICANOS,REPUBLICANOS,NOEL DA SILVA VILELA FILHO,2018-08-07,82880,MATERIAL DE CONSUMO - MATERIAIS IMPRESSOS - ORDINÁRIAS
BA,DEM,DEMOCRATAS,BIG BANG COMUNICACAO VISUAL LTDA - ME,2018-08-17,80750,PRODUÇÃO DE AUDIOVISUAIS - ORDINÁRIAS
BR,REPUBLICANOS,REPUBLICANOS,Direção Estadual/Distrital - PRB - SÃO PAULO,2018-09-26,7250600.78,TRANSFERÊNCIAS FINANCEIRAS EFETUADAS - FUNDO PARTIDÁRIO - DIREÇÃO ESTADUAL - ORDINÁRIAS
BR,REPUBLICANOS,REPUBLICANOS,Direção Estadual/Distrital - PRB - SÃO PAULO,2018-09-13,6502445.94,TRANSFERÊNCIAS FINANCEIRAS EFETUADAS - FUNDO PARTIDÁRIO - DIREÇÃO ESTADUAL - ORDINÁRIAS
BR,REPUBLICANOS,REPUBLICANOS,Direção Estadual/Distrital - PRB - SÃO PAULO,2018-08-30,6000000,TRANSFERÊNCIAS FINANCEIRAS EFETUADAS - FUNDO PARTIDÁRIO - DIREÇÃO ESTADUAL - ORDINÁRIAS
BR,PSDB,PARTIDO DA SOCIAL DEMOCRACIA BRASILEIRA,BEACON COMUNICAÇÃO LTDA,2018-09-18,4965859.7,PROPAGANDA E PUBLICIDADE - ORDINÁRIAS
BR,PL,PARTIDO LIBERAL,Direção Estadual/Distrital - PR - SÃO PAULO,2018-08-29,3000000,TRANSFERÊNCIAS FINANCEIRAS EFETUADAS - FUNDO PARTIDÁRIO - DIREÇÃO ESTADUAL - ORDINÁRIAS
BR,PODE,PODEMOS,BRASPOR EDITORA GRAFICA LTDA,2018-10-31,2995612.89,ASSUNÇÃO DE OBRIGAÇÕES - DESPESAS ORDINÁRIAS REALIZADAS POR DIREÇÃO NACIONAL
BR,PTB,PARTIDO TRABALHISTA BRASILEIRO,BANCO DO BRASIL - 504 NORTE,2018-01-26,2338076.1,DEPÓSITOS RESTITUÍVEIS E VALORES VINCULADOS - DEPÓSITOS JUDICIAIS
BR,PSDB,PARTIDO DA SOCIAL DEMOCRACIA BRASILEIRA,COMUNICA4 PROPAGANDA LTDA,2018-07-24,2185333.48,OUTRAS DESPESAS COM PROPAGANDA DOUTRINÁRIA E POLÍTICA - ORDINÁRIAS
BR,PSDB,PARTIDO DA SOCIAL DEMOCRACIA BRASILEIRA,COMUNICA4 PROPAGANDA LTDA,2018-06-22,2024629.3,OUTRAS DESPESAS COM PROPAGANDA DOUTRINÁRIA E POLÍTICA - ORDINÁRIAS
BR,MDB,MOVIMENTO DEMOCRÁTICO BRASILEIRO,Direção Estadual/Distrital - MDB - CEARÁ,2018-08-30,2000000,TRANSFERÊNCIAS FINANCEIRAS EFETUADAS - FUNDO PARTIDÁRIO - DIREÇÃO ESTADUAL - ORDINÁRIAS
BR,PDT,PARTIDO DEMOCRÁTICO TRABALHISTA,PRODUÇÃO E CONSULTORIA MARKETING PUBLICITARIO,2018-08-13,1881000,PROPAGANDA E PUBLICIDADE - ORDINÁRIAS
BR,PSDB,PARTIDO DA SOCIAL DEMOCRACIA BRASILEIRA,COMUNICA4 PROPAGANDA LTDA,2018-05-25,1798784.27,OUTRAS DESPESAS COM PROPAGANDA DOUTRINÁRIA E POLÍTICA - ORDINÁRIAS
BR,MDB,MOVIMENTO DEMOCRÁTICO BRASILEIRO,FUNDAÇÃO ULYSSES GUIMARÃES NACIONAL,2018-08-30,1706314.35,FUNDAÇÃO DE PESQUISA OU DE DOUTRINAÇÃO E EDUCAÇÃO POLÍTICA - FUNDAÇÃO PARTIDÁRIA
BR,PT,PARTIDO DOS TRABALHADORES,FUNDAÇÃO PERSEU ABRAMO,2018-04-27,1685344.55,FUNDAÇÃO DE PESQUISA OU DE DOUTRINAÇÃO E EDUCAÇÃO POLÍTICA - FUNDAÇÃO PARTIDÁRIA
BR,PT,PARTIDO DOS TRABALHADORES,FUNDAÇÃO PERSEU ABRAMO,2018-05-29,1685344.55,FUNDAÇÃO DE PESQUISA OU DE DOUTRINAÇÃO E EDUCAÇÃO POLÍTICA - FUNDAÇÃO PARTIDÁRIA
BR,PT,PARTIDO DOS TRABALHADORES,FUNDAÇÃO PERSEU ABRAMO,2018-06-28,1685344.55,FUNDAÇÃO DE PESQUISA OU DE DOUTRINAÇÃO E EDUCAÇÃO POLÍTICA - FUNDAÇÃO PARTIDÁRIA
BR,PT,PARTIDO DOS TRABALHADORES,FUNDAÇÃO PERSEU ABRAMO,2018-07-30,1685344.55,FUNDAÇÃO DE PESQUISA OU DE DOUTRINAÇÃO E EDUCAÇÃO POLÍTICA - FUNDAÇÃO PARTIDÁRIA
BR,PT,PARTIDO DOS TRABALHADORES,FUNDAÇÃO PERSEU ABRAMO,2018-01-26,1685322.38,FUNDAÇÃO DE PESQUISA OU DE DOUTRINAÇÃO E EDUCAÇÃO POLÍTICA - FUNDAÇÃO PARTIDÁRIA
BR,PT,PARTIDO DOS TRABALHADORES,FUNDAÇÃO PERSEU ABRAMO,2018-02-28,1685322.37,FUNDAÇÃO DE PESQUISA OU DE DOUTRINAÇÃO E EDUCAÇÃO POLÍTICA - FUNDAÇÃO PARTIDÁRIA
BR,PT,PARTIDO DOS TRABALHADORES,FUNDAÇÃO PERSEU ABRAMO,2018-03-23,1685322.37,FUNDAÇÃO DE PESQUISA OU DE DOUTRINAÇÃO E EDUCAÇÃO POLÍTICA - FUNDAÇÃO PARTIDÁRIA
BR,PSDB,PARTIDO DA SOCIAL DEMOCRACIA BRASILEIRA,COMUNICA4 PROPAGANDA LTDA,2018-08-17,1668106.78,PROPAGANDA E PUBLICIDADE - ORDINÁRIAS
BR,PT,PARTIDO DOS TRABALHADORES,FUNDAÇÃO PERSEU ABRAMO,2018-10-30,1666080.53,FUNDAÇÃO DE PESQUISA OU DE DOUTRINAÇÃO E EDUCAÇÃO POLÍTICA - FUNDAÇÃO PARTIDÁRIA
BR,MDB,MOVIMENTO DEMOCRÁTICO BRASILEIRO,FUNDAÇÃO ULYSSES GUIMARÃES NACIONAL,2018-03-01,1659027.01,FUNDAÇÃO DE PESQUISA OU DE DOUTRINAÇÃO E EDUCAÇÃO POLÍTICA - FUNDAÇÃO PARTIDÁRIA
BR,PT,PARTIDO DOS TRABALHADORES,FUNDAÇÃO PERSEU ABRAMO,2018-11-28,1657508.26,FUNDAÇÃO DE PESQUISA OU DE DOUTRINAÇÃO E EDUCAÇÃO POLÍTICA - FUNDAÇÃO PARTIDÁRIA
BR,PT,PARTIDO DOS TRABALHADORES,FUNDAÇÃO PERSEU ABRAMO,2018-08-29,1654882.5,FUNDAÇÃO DE PESQUISA OU DE DOUTRINAÇÃO E EDUCAÇÃO POLÍTICA - FUNDAÇÃO PARTIDÁRIA
BR,PT,PARTIDO DOS TRABALHADORES,FUNDAÇÃO PERSEU ABRAMO,2018-09-25,1654153.94,FUNDAÇÃO DE PESQUISA OU DE DOUTRINAÇÃO E EDUCAÇÃO POLÍTICA - FUNDAÇÃO PARTIDÁRIA
BR,MDB,MOVIMENTO DEMOCRÁTICO BRASILEIRO,FUNDAÇÃO ULYSSES GUIMARÃES NACIONAL,2018-06-29,1643397.81,FUNDAÇÃO DE PESQUISA OU DE DOUTRINAÇÃO E EDUCAÇÃO POLÍTICA - FUNDAÇÃO PARTIDÁRIA
BR,MDB,MOVIMENTO DEMOCRÁTICO BRASILEIRO,FUNDAÇÃO ULYSSES GUIMARÃES NACIONAL,2018-09-27,1640067.89,FUNDAÇÃO DE PESQUISA OU DE DOUTRINAÇÃO E EDUCAÇÃO POLÍTICA - FUNDAÇÃO PARTIDÁRIA
BR,MDB,MOVIMENTO DEMOCRÁTICO BRASILEIRO,FUNDAÇÃO ULYSSES GUIMARÃES NACIONAL,2018-06-04,1619198.2,FUNDAÇÃO DE PESQUISA OU DE DOUTRINAÇÃO E EDUCAÇÃO POLÍTICA - FUNDAÇÃO PARTIDÁRIA
BR,MDB,MOVIMENTO DEMOCRÁTICO BRASILEIRO,FUNDAÇÃO ULYSSES GUIMARÃES NACIONAL,2018-05-03,1561946.17,FUNDAÇÃO DE PESQUISA OU DE DOUTRINAÇÃO E EDUCAÇÃO POLÍTICA - FUNDAÇÃO PARTIDÁRIA
BR,MDB,MOVIMENTO DEMOCRÁTICO BRASILEIRO,FUNDAÇÃO ULYSSES GUIMARÃES NACIONAL,2018-03-23,1543867.79,FUNDAÇÃO DE PESQUISA OU DE DOUTRINAÇÃO E EDUCAÇÃO POLÍTICA - FUNDAÇÃO PARTIDÁRIA
BR,MDB,MOVIMENTO DEMOCRÁTICO BRASILEIRO,FUNDAÇÃO ULYSSES GUIMARÃES NACIONAL,2018-08-01,1540585,FUNDAÇÃO DE PESQUISA OU DE DOUTRINAÇÃO E EDUCAÇÃO POLÍTICA - FUNDAÇÃO PARTIDÁRIA
BR,MDB,MOVIMENTO DEMOCRÁTICO BRASILEIRO,FUNDAÇÃO ULYSSES GUIMARÃES NACIONAL,2018-12-03,1539129.25,FUNDAÇÃO DE PESQUISA OU DE DOUTRINAÇÃO E EDUCAÇÃO POLÍTICA - FUNDAÇÃO PARTIDÁRIA
BR,PSB,PARTIDO SOCIALISTA BRASILEIRO,FUNDAÇÃO JOÃO MANGABEIRA,2018-01-09,1521054.48,FUNDAÇÃO DE PESQUISA OU DE DOUTRINAÇÃO E EDUCAÇÃO POLÍTICA - FUNDAÇÃO PARTIDÁRIA
BR,MDB,MOVIMENTO DEMOCRÁTICO BRASILEIRO,FUNDAÇÃO ULYSSES GUIMARÃES NACIONAL,2018-10-30,1520911.51,FUNDAÇÃO DE PESQUISA OU DE DOUTRINAÇÃO E EDUCAÇÃO POLÍTICA - FUNDAÇÃO PARTIDÁRIA
BR,PSDB,PARTIDO DA SOCIAL DEMOCRACIA BRASILEIRA,INSTITUTO TEOTONIO VILELA,2018-06-29,1425882.08,FUNDAÇÃO DE PESQUISA OU DE DOUTRINAÇÃO E EDUCAÇÃO POLÍTICA - FUNDAÇÃO PARTIDÁRIA
BR,PSDB,PARTIDO DA SOCIAL DEMOCRACIA BRASILEIRA,INSTITUTO TEOTONIO VILELA,2018-04-30,1425882.08,FUNDAÇÃO DE PESQUISA OU DE DOUTRINAÇÃO E EDUCAÇÃO POLÍTICA - FUNDAÇÃO PARTIDÁRIA
BR,PSDB,PARTIDO DA SOCIAL DEMOCRACIA BRASILEIRA,INSTITUTO TEOTONIO VILELA,2018-05-30,1425882.08,FUNDAÇÃO DE PESQUISA OU DE DOUTRINAÇÃO E EDUCAÇÃO POLÍTICA - FUNDAÇÃO PARTIDÁRIA
BR,PSDB,PARTIDO DA SOCIAL DEMOCRACIA BRASILEIRA,INSTITUTO TEOTONIO VILELA,2018-07-31,1425882.08,FUNDAÇÃO DE PESQUISA OU DE DOUTRINAÇÃO E EDUCAÇÃO POLÍTICA - FUNDAÇÃO PARTIDÁRIA
BR,PSDB,PARTIDO DA SOCIAL DEMOCRACIA BRASILEIRA,INSTITUTO TEOTONIO VILELA,2018-08-31,1425882.08,FUNDAÇÃO DE PESQUISA OU DE DOUTRINAÇÃO E EDUCAÇÃO POLÍTICA - FUNDAÇÃO PARTIDÁRIA
BR,PSDB,PARTIDO DA SOCIAL DEMOCRACIA BRASILEIRA,INSTITUTO TEOTONIO VILELA,2018-09-28,1425882.08,FUNDAÇÃO DE PESQUISA OU DE DOUTRINAÇÃO E EDUCAÇÃO POLÍTICA - FUNDAÇÃO PARTIDÁRIA
BR,PSDB,PARTIDO DA SOCIAL DEMOCRACIA BRASILEIRA,INSTITUTO TEOTONIO VILELA,2018-03-01,1423949.03,FUNDAÇÃO DE PESQUISA OU DE DOUTRINAÇÃO E EDUCAÇÃO POLÍTICA - FUNDAÇÃO PARTIDÁRIA
BR,PSDB,PARTIDO DA SOCIAL DEMOCRACIA BRASILEIRA,INSTITUTO TEOTONIO VILELA,2018-03-29,1423949.03,FUNDAÇÃO DE PESQUISA OU DE DOUTRINAÇÃO E EDUCAÇÃO POLÍTICA - FUNDAÇÃO PARTIDÁRIA
BR,PSDB,PARTIDO DA SOCIAL DEMOCRACIA BRASILEIRA,INSTITUTO TEOTONIO VILELA,2018-11-29,1398775.13,FUNDAÇÃO DE PESQUISA OU DE DOUTRINAÇÃO E EDUCAÇÃO POLÍTICA - FUNDAÇÃO PARTIDÁRIA
BR,PSDB,PARTIDO DA SOCIAL DEMOCRACIA BRASILEIRA,INSTITUTO TEOTONIO VILELA,2018-10-31,1391514.38,FUNDAÇÃO DE PESQUISA OU DE DOUTRINAÇÃO E EDUCAÇÃO POLÍTICA - FUNDAÇÃO PARTIDÁRIA
BR,MDB,MOVIMENTO DEMOCRÁTICO BRASILEIRO,FUNDAÇÃO ULYSSES GUIMARÃES NACIONAL,2018-01-30,1382522.52,FUNDAÇÃO DE PESQUISA OU DE DOUTRINAÇÃO E EDUCAÇÃO POLÍTICA - FUNDAÇÃO PARTIDÁRIA
BR,PDT,PARTIDO DEMOCRÁTICO TRABALHISTA,PRODUÇÃO E CONSULTORIA MARKETING PUBLICITARIO,2018-06-08,1365000,PROPAGANDA E PUBLICIDADE - ORDINÁRIAS
BR,PDT,PARTIDO DEMOCRÁTICO TRABALHISTA,PRODUÇÃO E CONSULTORIA MARKETING PUBLICITARIO,2018-07-11,1365000,PRODUÇÃO DE AUDIOVISUAIS - ORDINÁRIAS
BR,PDT,PARTIDO DEMOCRÁTICO TRABALHISTA,PRODUÇÃO E CONSULTORIA MARKETING PUBLICITARIO,2018-05-18,1365000,PROPAGANDA E PUBLICIDADE - ORDINÁRIAS
BR,PSDB,PARTIDO DA SOCIAL DEMOCRACIA BRASILEIRA,INSTITUTO TEOTONIO VILELA,2018-01-31,1329355.22,FUNDAÇÃO DE PESQUISA OU DE DOUTRINAÇÃO E EDUCAÇÃO POLÍTICA - FUNDAÇÃO PARTIDÁRIA
CE,PT,PARTIDO DOS TRABALHADORES,MR FILMES EIRELI EPP,2018-07-31,200000,PROPAGANDA E PUBLICIDADE - ORDINÁRIAS
CE,PT,PARTIDO DOS TRABALHADORES,MR FILMES EIRELI EPP,2018-08-03,200000,PROPAGANDA E PUBLICIDADE - ORDINÁRIAS
CE,PROS,PARTIDO REPUBLICANO DA ORDEM SOCIAL,THIAGO CARVALHO ASSESSORIA JURIDICA E LESGILATIVA EIRELI - ME,2018-04-18,150000,SERVIÇOS TÉCNICO-PROFISSIONAIS - SERVIÇOS DE CONSULTORIA JURÍDICA - ORDINÁRIAS
CE,PSDB,PARTIDO DA SOCIAL DEMOCRACIA BRASILEIRA,PELICANO PRODUTORA EIRELI ME,2018-06-11,150000,PRODUÇÃO DE AUDIOVISUAIS - ORDINÁRIAS
CE,PSDB,PARTIDO DA SOCIAL DEMOCRACIA BRASILEIRA,PELICANO PRODUTORA EIRELI ME,2018-07-02,150000,PRODUÇÃO DE AUDIOVISUAIS - ORDINÁRIAS
CE,PT,PARTIDO DOS TRABALHADORES,MR FILMES EIRELI EPP,2018-08-27,150000,PROPAGANDA E PUBLICIDADE - ORDINÁRIAS
CE,PDT,PARTIDO DEMOCRÁTICO TRABALHISTA,VOX DO BRASIL PESQUISAS E PARTICIPACOES  LTDA,2018-07-19,141454,PESQUISAS E TESTES DE OPINIÃO PÚBLICA - ORDINÁRIAS
CE,PT,PARTIDO DOS TRABALHADORES,NOVO HORIZONTE JACAREPAGUA IMPORT E EXPORT LTDA,2018-08-20,125000,ALUGUÉIS E CONDOMÍNIOS - LOCAÇÃO DE BENS MÓVEIS - ORDINÁRIAS
CE,PDT,PARTIDO DEMOCRÁTICO TRABALHISTA,TAM AVIACAO EXECUTIVA E TAXI AEREO S/A,2018-04-09,124760.2,TRANSPORTES E VIAGENS - FRETAMENTO DE AERONAVES - ORDINÁRIAS
CE,PDT,PARTIDO DEMOCRÁTICO TRABALHISTA,TAM AVIACAO EXECUTIVA E TAXI AEREO S/A,2018-01-31,110561,TRANSPORTES E VIAGENS - FRETAMENTO DE AERONAVES - ORDINÁRIAS
DF,MDB,MOVIMENTO DEMOCRÁTICO BRASILEIRO,BANCO DO BRASIL S/A,2018-04-12,163503.98,DEPÓSITOS RESTITUÍVEIS E VALORES VINCULADOS - DEPÓSITOS JUDICIAIS
DF,MDB,MOVIMENTO DEMOCRÁTICO BRASILEIRO,BANCO DO BRASIL S/A,2018-03-13,163503.98,DEPÓSITOS RESTITUÍVEIS E VALORES VINCULADOS - DEPÓSITOS JUDICIAIS
DF,PSB,PARTIDO SOCIALISTA BRASILEIRO,"O & P BRASIL, OPINIÃO, ANÁLISE, ESTRATÉGIA, S/C LTDA",2018-06-04,100000,PESQUISAS E TESTES DE OPINIÃO PÚBLICA - ORDINÁRIAS
DF,PSB,PARTIDO SOCIALISTA BRASILEIRO,GABRIELA ROLLEMBERG ADVOCACIA,2018-07-20,100000,SERVIÇOS TÉCNICO-PROFISSIONAIS - SERVIÇOS DE CONSULTORIA JURÍDICA - ORDINÁRIAS
DF,PSB,PARTIDO SOCIALISTA BRASILEIRO,CONTEÚDO COMUNICAÇÃO E MARKETING LTDA,2018-07-31,100000,PROPAGANDA E PUBLICIDADE - ORDINÁRIAS
DF,PL,PARTIDO LIBERAL,FPD FORNECEDORA DE PAPEL E DERIVADOS EIRELI ME,2018-06-25,94900,MATERIAL DE CONSUMO - MATERIAIS IMPRESSOS - ORDINÁRIAS
DF,PROS,PARTIDO REPUBLICANO DA ORDEM SOCIAL,SCORPION SERVIÇOS PROFISSIONAIS DE INFORMAÇÕES LTDA - ME,2018-05-02,93000,SERVIÇOS TÉCNICO-PROFISSIONAIS - OUTROS SERVIÇOS TÉCNICOS E PROFISSIONAIS - ORDINÁRIAS
DF,PROS,PARTIDO REPUBLICANO DA ORDEM SOCIAL,SCORPION SERVIÇOS PROFISSIONAIS DE INFORMAÇÕES LTDA - ME,2018-06-11,91000,SERVIÇOS TÉCNICO-PROFISSIONAIS - OUTROS SERVIÇOS TÉCNICOS E PROFISSIONAIS - ORDINÁRIAS
DF,PROS,PARTIDO REPUBLICANO DA ORDEM SOCIAL,SCORPION SERVIÇOS PROFISSIONAIS DE INFORMAÇÕES LTDA - ME,2018-07-05,90000,SERVIÇOS TÉCNICO-PROFISSIONAIS - OUTROS SERVIÇOS TÉCNICOS E PROFISSIONAIS - ORDINÁRIAS
DF,REPUBLICANOS,REPUBLICANOS,GUIMARÃES PESQUISAS E CONSULTORIA LTDA,2018-07-10,65695,PESQUISAS E TESTES DE OPINIÃO PÚBLICA - ORDINÁRIAS
ES,PP,PROGRESSISTAS,MEGA COMERCIO E SERVIÇOS LTDA ME,2018-09-20,188920,SERVIÇOS TÉCNICO-PROFISSIONAIS - OUTROS SERVIÇOS TÉCNICOS E PROFISSIONAIS - ORDINÁRIAS
ES,PSDB,PARTIDO DA SOCIAL DEMOCRACIA BRASILEIRA,FLUID MARKETING STUDIO EIRELI,2018-12-04,165000,PROPAGANDA E PUBLICIDADE - ORDINÁRIAS
ES,PP,PROGRESSISTAS,MEGA COMERCIO E SERVIÇOS LTDA ME,2018-09-04,103080,SERVIÇOS TÉCNICO-PROFISSIONAIS - OUTROS SERVIÇOS TÉCNICOS E PROFISSIONAIS - ORDINÁRIAS
ES,PSB,PARTIDO SOCIALISTA BRASILEIRO,D.J. BRANDY,2018-07-30,75080,SERVIÇOS TÉCNICO-PROFISSIONAIS - ENCARGOS SOCIAIS - ORDINÁRIAS
ES,PSB,PARTIDO SOCIALISTA BRASILEIRO,D.J. BRANDY,2018-06-20,46925,SERVIÇOS TÉCNICO-PROFISSIONAIS - OUTROS SERVIÇOS TÉCNICOS E PROFISSIONAIS - ORDINÁRIAS
ES,PSDB,PARTIDO DA SOCIAL DEMOCRACIA BRASILEIRA,CASAMARELA COMUNICAÇÃO INTEGRADA LTDA ME,2018-08-03,35000,PROPAGANDA E PUBLICIDADE - ORDINÁRIAS
ES,MDB,MOVIMENTO DEMOCRÁTICO BRASILEIRO,PREFEITURA MUNICIPAL DE VITORIA,2018-06-01,30648.49,TRIBUTOS - TAXAS - ORDINÁRIAS
ES,MDB,MOVIMENTO DEMOCRÁTICO BRASILEIRO,GRAFICA E EDITORA CANELA VERDE,2018-01-25,22640,MATERIAL DE CONSUMO - MATERIAIS IMPRESSOS - ORDINÁRIAS
ES,PT,PARTIDO DOS TRABALHADORES,CROMA PRODUÇÕES AUDIOVISUAIS LTDA - EPP,2017-12-31,22000,PRODUÇÃO DE AUDIOVISUAIS - ORDINÁRIAS
ES,PP,PROGRESSISTAS,LUCIANO CEOTTO SOCIEDADE INDIVIDUAL DE ADVOCACIA,2018-09-11,21180,SERVIÇOS TÉCNICO-PROFISSIONAIS - SERVIÇOS DE CONSULTORIA JURÍDICA - ORDINÁRIAS
GO,PSB,PARTIDO SOCIALISTA BRASILEIRO,VIJOY FILMES EIRELI,2018-11-14,285465,PRODUÇÃO DE AUDIOVISUAIS - ORDINÁRIAS
GO,PT,PARTIDO DOS TRABALHADORES,JUSTIÇA,2018-02-26,155398.18,DESPESAS JUDICIAIS - ORDINÁRIAS
GO,PSB,PARTIDO SOCIALISTA BRASILEIRO,SOLIDA COMUNICAÇÃO VISUAL LTDA,2018-09-18,108000.04,MATERIAL DE CONSUMO - MATERIAIS IMPRESSOS - ORDINÁRIAS
GO,PT,PARTIDO DOS TRABALHADORES,JAIRO PEREIRA DE OLIVEIRA,2018-08-14,97200,TRANSPORTES E VIAGENS - OUTRAS DESPESAS COM TRANSPORTES E VIAGENS - ORDINÁRIAS
GO,PSB,PARTIDO SOCIALISTA BRASILEIRO,SOLIDA COMUNICAÇÃO VISUAL LTDA,2018-09-18,92000,MATERIAL DE CONSUMO - MATERIAIS IMPRESSOS - MULHERES
GO,PTB,PARTIDO TRABALHISTA BRASILEIRO,DADOS PESQUISAS CONSULTORIA E MARKETING EIRELI,2018-12-07,80000,PESQUISAS E TESTES DE OPINIÃO PÚBLICA - ORDINÁRIAS
GO,PROS,PARTIDO REPUBLICANO DA ORDEM SOCIAL,MA INDUSTRIA COMERCIO E SERVIÇOS EIRELI,2018-08-30,75000,OUTRAS DESPESAS GERAIS - ORDINÁRIAS
GO,PSB,PARTIDO SOCIALISTA BRASILEIRO,LOURDES VAZ DOS SANTOS,2018-12-10,70000,MATERIAL DE CONSUMO - MATERIAIS IMPRESSOS - ORDINÁRIAS
GO,PSDB,PARTIDO DA SOCIAL DEMOCRACIA BRASILEIRA,RADIO E TV CANTAGALO LTDA-ME,2018-02-26,70000,RÁDIO E TELEVISÃO - ORDINÁRIAS
GO,PSDB,PARTIDO DA SOCIAL DEMOCRACIA BRASILEIRA,RC SERVIÇOS AEREOS ESPECIALIZADOS LTDA,2018-01-30,69300,TRANSPORTES E VIAGENS - FRETAMENTO DE AERONAVES - ORDINÁRIAS
MA,REPUBLICANOS,REPUBLICANOS,J R PEREIRA CONSTRUÇÕES E COMERCIO,2018-08-16,1300000,ATIVO PERMANENTE - BENS IMÓVEIS - EDIFICAÇÕES
MA,PDT,PARTIDO DEMOCRÁTICO TRABALHISTA,BANCO DO BRASIL,2018-06-15,121436.84,DEPÓSITOS RESTITUÍVEIS E VALORES VINCULADOS - DEPÓSITOS JUDICIAIS
MA,MDB,MOVIMENTO DEMOCRÁTICO BRASILEIRO,BACANGA SONORIZAÇÃO E TRANSPORTE LTDA,2018-07-18,120000,EVENTOS PROMOCIONAIS - ORDINÁRIAS
MA,REPUBLICANOS,REPUBLICANOS,A C OLIVEIRA DA COSTA ME,2018-08-13,95000,PROPAGANDA E PUBLICIDADE - MULHERES
MA,PDT,PARTIDO DEMOCRÁTICO TRABALHISTA,CONSTRUTORA QUADRANTE EIRELI,2018-08-13,80102.37,"MANUTENÇÃO, CONSERVAÇÃO E REPAROS DE BENS - ORDINÁRIAS"
MA,DEM,DEMOCRATAS,OPNIAO PU-R N BRITO LIMA,2018-09-05,68000,PESQUISAS E TESTES DE OPINIÃO PÚBLICA - ORDINÁRIAS
MA,PSDB,PARTIDO DA SOCIAL DEMOCRACIA BRASILEIRA,MSP EMPREENDIMENTOS LTDA-ME,2018-06-15,65900,EVENTOS PROMOCIONAIS - ORDINÁRIAS
MA,PDT,PARTIDO DEMOCRÁTICO TRABALHISTA,VIACOM NEXT GENERATION COMUNICAÇÃO LTDA,2018-08-09,56700,TELECOMUNICAÇÕES E INTERNET - ORDINÁRIAS
MA,PSB,PARTIDO SOCIALISTA BRASILEIRO,JOSE R VIEIRA,2018-09-04,52878.37,DESPESAS FINANCEIRAS - OUTRAS DESPESAS FINANCEIRAS
MA,DEM,DEMOCRATAS,G E PRACIANO,2018-08-03,50000,EVENTOS PROMOCIONAIS - ORDINÁRIAS
MS,MDB,MOVIMENTO DEMOCRÁTICO BRASILEIRO,A. F. BARBOSA & CIA LTDA - ME,2018-02-14,259000,PESQUISAS E TESTES DE OPINIÃO PÚBLICA - ORDINÁRIAS
MS,MDB,MOVIMENTO DEMOCRÁTICO BRASILEIRO,A. F. BARBOSA & CIA LTDA - ME,2018-03-15,200000,PESQUISAS E TESTES DE OPINIÃO PÚBLICA - ORDINÁRIAS
